,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74
area_total_desmatada_km2,-0.02960494373027726,0.21582149994142985,-0.12313263738063837,-0.08640888269226028,-0.23256665198984341,-0.047984806166172775,0.13884551266625725,-0.025240936238173448,0.1548791763001704,-0.07889638951112656,-0.1185234792991614,0.030391672807496224,-0.02944034310222326,0.1415209344208496,-0.02579474121808101,0.022630416520080354,-0.0074261494014182085,0.1070549706561696,0.05404580987075618,-0.025378440867763957,0.04661887294834023,0.0966868245809301,-0.19448075012930893,0.06644020563778938,0.14016004097508114,0.0008394941926171857,-0.051464212173597125,-0.02722135323626932,0.0256376953058826,0.06323385454621104,0.047818462288797436,-0.04524839249154617,-0.11010724479160874,-0.038704526764758135,-0.03187329008205826,-0.13294539915050613,0.05890950948903624,-0.05950837127416566,0.013409453705185873,0.023468300335627912,0.012266673886276034,0.12552489484885107,-0.00711426586762607,-0.13128390137612225,-0.021388573606906457,-0.14135281709589814,0.037501395980591136,-0.19669110177110186,-0.016099508326281747,0.11339674011972181,0.37997351118491274,-0.009919991838053319,-0.1002851140719508,0.133019110965865,0.27018950819291426,0.00035894044118158717,0.33138950808386863,0.35425570264116457,-0.23418376144590422,-0.03031061451160429,-0.041145675767621945,-0.016813397760705513,0.017545277302985454,-0.0009948453341822284,-0.0006610018896435444,1.9258583486086044e-15,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
area_municipio_km2,-0.016223613730808356,0.14612488047439487,-0.20598332721783022,-0.02865268258722467,-0.10859223581254851,-0.0694969649373545,0.20825384928981278,-0.06379073793907103,0.07751388206599455,-0.018368028189870864,-0.12230949612355507,0.11112542876761439,0.022925038644109705,0.2331040129038765,0.07517576001145405,0.04949853782349568,-0.12714569723166946,0.12714822534740947,0.05201532146103896,-0.12229259555705278,0.03151483553749769,0.2456371204675328,-0.2227238998366463,0.0987453946246221,-0.01567121036732897,-0.18004221984437505,-0.06277012644645591,0.04638934285455311,-0.015037452315717232,0.2708325232856857,0.086601725470342,-0.032778390141521264,-0.023846489632741177,-0.009051395996030304,0.0537495986135009,-0.07076028356608847,0.13710156061493853,0.1007532851483299,-0.02704673551145542,-0.02833515092495866,-0.02787149883763542,0.18166763912376258,-0.09671956408803213,0.07345242377241594,0.1825897763634798,-0.13534230385556656,-0.056980091905727684,-0.0011275663852730045,-0.08103955417994241,-0.059704145179367486,-0.08116518891120353,0.04756126769475273,0.04075070182519061,0.1065705484934519,-0.2756880893133422,-0.12115672011726644,-0.3226824112526504,-0.17413899128816837,0.265211225256352,0.08668897840078822,0.05701351748280803,0.04517117123788817,-0.01148026420408993,-0.00019321979814789024,0.0006705876690848967,-1.0032857021755998e-15,4.378008372496467e-16,1.5395670849294163e-17,-2.3153693629787263e-17,-1.2571608312771207e-16,9.29474803248584e-16,5.524277929438809e-16,4.3194614551822497e-16,-4.475586568020162e-16
População 2022,0.12304037472976403,-0.031201714494881072,-0.20073974317950408,-0.20565549800607227,0.038426186782293925,0.011861823917746747,0.012734599099179872,-0.03180715469435577,0.06695020842669305,-0.01707705034013976,0.06848797430526889,-0.009552989002223403,0.07447137877904275,-0.08550285212341738,-0.061880714886412266,-0.02835492341744613,0.18864940958119408,-0.065742857291959,-0.1783840464991968,-0.031493922020393236,0.08271368779292204,-0.19038010093696742,-0.08783964512054332,-0.07607863930754602,-0.13313959168929806,0.16636295731944356,-0.12716394666629569,0.11661879422221262,0.010502805836537663,0.091956898232821,0.15935419458669894,0.024671187738302215,-0.10065406203654338,-0.23196385145100273,-0.032252856212847514,0.24644379142102554,-0.005860959647894303,-0.06601174456266157,-0.1596608407149656,-0.13222811979937377,-0.10670757785079531,-0.07072955675453935,0.3201443132560049,0.24306134467526697,-0.05748299203502268,-0.23773597115760572,0.03698496923174711,-0.13899875276711737,0.028606867088981837,0.02453584680969103,0.10759776447079489,0.03625392065032494,-0.32339095429317677,0.07185276703026011,-0.1905242092432489,0.09918693148068339,-0.07422304036487856,-0.008744718211735947,0.018984830806116848,-0.019156887907715754,-0.05086474447448118,-0.00040538833910394936,-0.14424056316976863,0.03070034004733694,0.003096047701894008,-1.5457732563526607e-16,8.173059288274111e-16,-8.272712558978023e-16,1.4776534568745475e-15,2.249942390282739e-15,-1.0425083539354588e-15,6.997850768423046e-16,1.7470447578965484e-15,2.6503993009139735e-16
PIB per capita 2021,0.08657637466671153,0.04090346038830095,-0.05661249442935415,-0.01596831181428775,0.05136483759208968,0.16316292521891845,0.10130321915321402,0.05372532652685148,-0.06426031695602033,0.16287235251876486,0.027362383823653608,-0.19155733945226178,-0.044412095284910205,-0.2577790965142386,0.13609860768744383,-0.1311631846282237,-0.00014160362242367133,0.06906570903576303,0.33130274637000307,-0.01014519910554197,0.09864450160116622,0.2773975280063524,0.04511439737335429,0.05104808046610399,0.19886723740288714,-0.1125590802005882,0.25714796156772235,-0.303743561915948,0.030091753573302266,-0.14100182538328265,0.21105862087589738,-0.039357967879661504,-0.0707523327085441,-0.05269469979715086,-0.02013178065299115,-0.0586358425887811,-0.2246979438214051,0.21189897396049057,0.009552684514766525,-0.19408194138582907,0.08798328786897812,0.01201980223037495,0.2463271777349051,-0.023094551483512804,-0.06489289334954965,-0.07153292064246117,0.0005940256563311758,0.003362318821969676,-0.11317988837617562,-0.0037240140380020038,-0.02927408672411029,0.0015561657662647012,-0.1524634464755024,0.07031267717171334,-0.1039642416412608,0.0065390502748234785,0.0759266854415601,-0.041071581381239036,0.0507475229191904,0.003422777307701878,-0.023085538008398857,0.03599011503213462,-0.03834785945994772,-0.0007451015978810129,0.000533888029634909,-3.8621341725192237e-16,-2.0991958375714269e-16,-1.7858749948761467e-16,-8.27018999232134e-17,3.4361592912171313e-16,9.814538705911222e-16,2.3940474584188347e-18,4.708391836383725e-16,-1.8659947731164056e-16
Índice de Progresso Social,0.18914354590047738,-0.23537797421544376,0.009535785050743206,0.006980717166281625,-0.03640729852879071,0.017264977456066907,0.06960225295910831,0.13018628950732197,0.06374331370076179,-0.08873070145873396,0.007240301484155359,-0.023463672019406356,0.01169096010363694,0.06458810029467205,-0.020701161816988764,0.03039207064586997,-0.01774103350342869,-0.004516602503355116,-0.019487798644357818,0.031825803213084564,0.014079736477956267,0.020363431081524802,-0.01875711333685426,-0.029568853216854804,0.026233735803579517,-0.027578516734215307,-0.0012759284305397106,-0.025583188645518166,-0.01703386218608651,-0.004725352669664826,-0.022289590387663663,0.04613335294656838,-0.0009301369786884478,0.002596122213559794,-0.014107451133026482,-0.0019416098896870154,-0.04400439849494727,0.02285676314851697,0.016727891054740943,0.0129737156245839,0.016663460623454224,0.03210266447406432,0.012263537008734003,-0.042704501774988336,0.018689990241314774,0.026310420288890177,-0.014770881481270783,0.0017911469424152443,0.045376781424273156,0.07068527856542077,0.02195613536083353,-0.03573020239798045,-0.017930035190388962,0.051049645933472595,0.004523718501998078,0.0599771806797138,-0.0557909734985709,0.042522944255883266,-0.004465891006050701,0.08497121530186831,0.12556843880251975,0.10562703735522351,0.021878204346480468,0.05534208144023007,0.06624303259014427,-0.06463087885818627,-0.2060097995278488,-0.0019997672298201837,-0.1630427107953606,0.33624979315671316,0.2798596180032505,-0.41680813655370097,0.5878909438596559,-0.06697261954972537
Necessidades Humanas Básicas,0.11319780442525045,-0.19641729722997753,-0.061957524224205196,0.23812490595480987,-0.03882672154292893,0.1898124125873536,0.12291936472480497,0.13570016282619538,0.11152961285991181,-0.03579330228518485,-0.059778893938499555,0.006439920758469664,0.07708034311344839,0.030071122601053914,-0.02132409043161144,0.06511657041095913,0.021182827774295778,0.04950052413639813,-0.06367292782552361,-0.003337520747112771,0.06888532989365599,-0.06668510615760868,-0.04505298292482107,-0.08731168789026111,0.013410515210463214,-0.02016177430041035,0.0035887236937112293,-0.027505769972872598,-0.020467617994721528,0.005124230860158688,0.027103973640065684,0.06403805905465768,0.002544301956115491,-0.012480247260905089,0.0009630037699021182,-0.0031652432474926495,-0.034059270560617735,0.03648094267956431,-0.02353044858524075,-0.006120302551886395,-0.026448063983279452,0.020365034011275235,0.01551164532315153,-0.054229017344298774,0.01703539719196446,-0.012264825013588963,0.020870649346693332,0.04202246932316558,-0.01728958117211605,0.056361929402443126,-0.0005364066118703978,0.019681122805577718,-0.009947031535069574,-0.0002917396361354109,0.04722251796715587,-0.026599201504794643,-0.02599481620894925,-0.03260649234430882,-0.11394408830612865,0.024842610465318944,0.28871992584525935,0.06960678111333923,-0.011300057920242442,-0.01358698445322776,-0.014223986235931472,0.2722199169745234,0.24179626103996713,0.5371049230718615,0.33005292881907633,-0.03369296252486758,-0.30546047544546323,-0.0905190609198672,0.01978036954083833,0.0389842403650738
Fundamentos do Bem-estar,0.20192246347511275,-0.1913834249118001,-0.04244285014088789,-0.027783435234112704,0.00024487895633673595,-0.08549315974263778,-0.05438895028778436,-0.09995227411121535,-0.14617601222865628,-0.10202417191322236,0.04003466276197415,-0.012235690197743981,-0.021868724010258148,0.0194706438336871,-0.0010725690640298602,-0.0013874949864493245,-0.017348589603378817,-0.014740309508126867,0.07041414838332057,0.04094884262807113,-0.06097202773628164,0.01892215641849372,0.02641109522689973,0.09216628714804662,0.026395291910056337,-0.04830603613068618,-0.005790748442614679,-0.0010084053676186616,-0.03531907094242183,0.02839326208283456,-0.08571935384095408,0.008174408740445484,-0.04365371990380004,-0.02621210820633671,0.018664370648754286,0.009229434005903897,0.015883380208340597,0.021361030948043827,-0.033935564440719525,0.07763197388050946,0.010200530031551375,0.08938195432954554,0.018574497542914972,0.007858380471153531,0.0021234207133737117,0.05075801784689975,-0.024039929789156495,0.010488670024444618,0.054187499523995264,0.08888444580223906,0.03639209953211714,-0.016917206549051236,-0.0678279738208712,0.04975026766063528,0.017669439559606953,0.0779699025888275,0.05914561996393519,0.11665353970159348,0.1969651144024952,0.1509062087962707,0.026045815673993125,0.05308785825278461,0.030100557798385972,-0.007011636266798054,-0.00940227406984331,-0.2464852603889508,0.6816779452416502,-0.19174335823289296,-0.10754029624076371,0.25361495691134484,-0.23191709498962254,-0.04940087771792095,-0.07927867789918966,0.0035346019113351914
Oportunidades,0.091517911383208,-0.10626556722822489,0.15651261249590037,-0.2751785031888473,-0.038830744323703814,-0.11802993262195144,0.06916355308494959,0.2556364040012362,0.1741943253108279,-0.058215510262220126,0.05411987928395956,-0.05379495384306089,-0.05076989680206661,0.0991302314470234,-0.021728036554756906,-0.010776122727655789,-0.05369408143756049,-0.06200841943057964,-0.042194523233926584,0.0379620499970699,0.010793807608605377,0.12045361235150662,-0.015744754481241546,-0.06002191412501261,0.017640565748704012,0.01305774244592547,-0.0015148652329775303,-0.025642633479208553,0.025205239420880307,-0.05108726297601859,0.004463038830170643,0.019362486592726304,0.043773007767121105,0.0532803683831874,-0.0579324119285502,-0.011046459559347827,-0.08215916913434156,-0.016537969637580502,0.11258522150552003,-0.04724626286838538,0.06627528008792488,-0.04861974029245869,-0.011420339390039913,-0.04231621905966784,0.02132434977596371,0.025129303950237408,-0.03821181246340239,-0.0646359193119084,0.07595531677067177,-0.00018616789066533412,0.014538289438947555,-0.09731232899265124,0.04554598685628132,0.07209332383774604,-0.07300956813247192,0.09828860988814836,-0.17186715198486888,0.01870958318702426,-0.07972906391975229,0.008176053871036988,-0.1074133584536637,0.11017235916846062,0.03614435259649168,0.16543562905745568,0.19639164436372808,-0.3715872315664308,-0.16284404778373968,0.19088407687022643,0.2441451227327259,0.302159722572404,-0.09965411038352057,0.26533392656739563,-0.24545222926104687,0.07585492516082944
Nutrição e Cuidados Médicos Básicos,-0.013099122295281715,-0.03750818698776533,-0.025183211420579055,-0.07330532617036745,-0.24623951583051484,0.35945511050653584,-0.21882344042733393,-0.015224597462521713,0.023299643647544166,-0.16035835264944667,-0.23677581765638317,-0.042910924049914805,-0.08752342490782297,0.07789564849234024,-0.05820188469390596,0.04318828698843891,0.028140238147458273,-0.06848869503702433,-0.06289793756123524,0.039176715849291964,0.036660773574729424,0.06114832146803309,0.05518904607569072,-0.012989111319969618,-0.024240756535016672,-0.0045341275366082515,-0.020605769428121617,-0.029821412701361332,-0.09246280004543524,0.04859389934257779,0.047208633970735145,0.09125802251436788,0.12085705400838437,0.015241155457184559,-0.023096637055058624,0.08306054611652956,-0.06430669295324333,0.15388256322969648,-0.06977058294364691,0.020455314233677146,-0.058114656468329653,0.004918827852790825,0.025621318812540997,-0.044746984108634924,0.04310671503670268,0.040323292853785886,-0.011820538185226808,0.05702160848173196,-0.12935797982223893,0.052896704405038686,-0.1601074066130166,0.0392565761139408,-0.08223209941592674,-0.021436236159161577,-0.011634264008611344,-0.11721834558238334,-0.040822857447411445,-0.0015053161140803628,-0.33821783898377533,0.5428184923837804,-0.025396932610285132,-0.07229693028073317,-0.11273325090505902,-0.007743581432797285,-0.006505553429856625,-0.059766374718418294,-0.03278032561056088,-0.1350747330422739,-0.06089205665162441,-0.03745805233713881,0.03873184263315248,0.07976721371780535,-0.08531984613259443,-0.0006720447182437736
Água e Saneamento,0.13576521563434332,-0.07101945656934427,0.016003578051120224,0.27591648179062084,0.14115044762089585,0.0859792236097469,0.23676146589210806,-0.026389337614328746,0.15477757955627897,-0.14374532686022873,0.04105605692680561,0.012701081083022592,-0.07416889456644626,0.0718110462931198,-0.03743578724356589,0.01803192494956521,0.10108772443850776,-0.021988214445083726,-0.09593846225908341,0.03214618050475943,0.034983718375958664,0.010796820443945233,0.003901383488844473,-0.07817426110718304,0.007751137760969168,-0.010930282364095219,0.02723315479524048,-0.04978318421571938,-0.047074743223412305,0.001193266398767115,0.003358592913928052,0.08370315216545669,-0.051591662205707656,0.05733868804238287,-0.0582770964431376,-0.04020218964719233,0.03230589074584218,-0.004907954884746924,0.017493209800307327,-0.026882673100642396,-0.03252792569643556,-0.005607629992883535,-0.01345631831861481,-0.057231988513485876,0.009352694619813586,-0.0406192727155305,-0.06826926480092702,-0.018143757176357203,-0.03758609951870144,-0.04112237145017633,-0.03224053365802959,-0.006684215827592846,-0.045715836636217685,-0.05094018644569458,-0.04498300491369887,-0.018326868625932413,0.07865560961765257,0.013765338866050622,0.046288208595874486,-0.03430253766744214,-0.08536945975934526,-0.03591400137544734,-0.003342977867507705,-0.0024548065752252567,-0.0051462974268947975,0.021023638791919996,-0.0313109366071015,-0.1773678914136576,-0.10415307747885061,0.004834250109516738,0.10078696174568184,-0.010868184992147062,-0.11598091612174205,0.771243862001938
