PC,ExplainedVariance
PC1,0.1815839632841181
PC2,0.10168399630577696
PC3,0.06345906592612287
PC4,0.05728831294325932
PC5,0.04471148662189584
PC6,0.0394996353227309
PC7,0.03375982733349503
PC8,0.03178921319500291
PC9,0.029356754449104995
PC10,0.025316011258692407
PC11,0.023907662552793283
PC12,0.02201913733333976
PC13,0.021466892959641805
PC14,0.019310682310753068
PC15,0.016979986881740038
PC16,0.016587727086707523
PC17,0.016070679222544355
PC18,0.015564756277693713
PC19,0.015122391732738775
PC20,0.014743826391473177
PC21,0.014020450677172612
PC22,0.012734508219587626
PC23,0.012198337190303547
PC24,0.01191637356748587
PC25,0.011016777571492152
PC26,0.010656900513916873
PC27,0.009622382695669398
PC28,0.009419815652510466
PC29,0.008822307232780898
PC30,0.00809513078085086
PC31,0.0075538787081314805
PC32,0.0072407816186956485
PC33,0.007047038972461641
PC34,0.006322645810459533
PC35,0.006144435523492834
PC36,0.005435198157295395
PC37,0.005189398975312141
PC38,0.004943709494252406
PC39,0.004621586001804623
PC40,0.004502560326574384
PC41,0.004119743738736345
PC42,0.0038690418928769405
PC43,0.0037401960481491916
PC44,0.003233691006516892
PC45,0.003075126139087379
PC46,0.002816900566540024
PC47,0.0025232934174930586
PC48,0.002263481762392833
PC49,0.002130411422762598
PC50,0.0020475106598917144
PC51,0.001938054425146877
PC52,0.0017046292496374527
PC53,0.0015762086618707483
PC54,0.001444207670391233
PC55,0.0012604599934082526
PC56,0.0011153092934812617
PC57,0.0009482705651485232
PC58,0.0008788813417177614
PC59,0.0005665792358686533
PC60,0.00044563843437752716
PC61,0.00025213456422605536
PC62,0.00019144477932932645
PC63,0.0001310332166010557
PC64,1.3420362711090989e-06
PC65,1.8279820200559612e-07
PC66,2.08843928177023e-31
PC67,1.1317126388513666e-31
PC68,1.0286106337199234e-31
PC69,6.810707607998109e-32
PC70,5.22532765850854e-32
PC71,3.182803608425498e-32
PC72,2.632397029364956e-32
PC73,1.5260290329829525e-32
PC74,1.1479718326488296e-32
